subject_category	subject_id	subject_label	subject_type	predicate_id	object_id	object_label	object_type	confidence	comment	mapping_justification	mapping_date	creator_id
Spatial Coverage (Shape Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoShape/schema:circle	circle	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-30	https://orcid.org/0000-0003-2261-9931
Spatial Coverage (Shape Location)	schema:spatialCoverage/schema:Place/schema:geo/schema:GeoShape/schema:elevation	elevation	schema:Number schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-30	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator	creator	schema:Person	skos:exactMatch	res:creator	creator	par:ResponsibleParty	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:roleName	roleName	schema:Text schema:URL	skos:exactMatch	sssom:NoMapping			0.75	No match can be found.  Roles may be inferred when the res:creator occurs in other elements with the par:ResponsibleParty type, For example, if a par:ResponsibleParty also occurs under res:contact, an additional role of "contact" may be assigned.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:description	description	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:url	url	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:sameAs	sameAs	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:startDate	startDate	schema:Date schema:DateTime	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:endDate	endDate	schema:Date schema:DateTime	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:url	url	schema:URL	skos:exactMatch	par:onlineUrl	onlineUrl	xs:anyURI	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:sameAs	sameAs	schema:URL	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:name	name	schema:Text	skos:exactMatch	sssom:NoMapping			1	No match can be found.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
Roles of People (Creator)	schema:creator/schema:Role/schema:creator/schema:Person/schema:familyName	familyName	schema:Text	skos:exactMatch	par:surName	surName	res:i18nNonEmptyStringType	1	Definitions and types match.	semapv:ManualMappingCuration	2023-08-31	https://orcid.org/0000-0003-2261-9931
